record,cmis,n_with,n_without,is_poison
fixed_1_4,0.9591836734693877,2,79,True
fixed_4_4,0.94,1,80,True
fixed_3_2,0.6330041152263375,4,77,True
fixed_1_3,0.6330041152263375,4,77,True
fixed_5_1,0.6315343915343915,3,78,True
fixed_4_3,0.6301660280970626,2,79,True
inject_1,0.625,3,78,True
fixed_2_3,0.5474074074074073,6,75,True
fixed_1_2,0.2149691358024691,8,73,True
fixed_2_2,0.13043478260869568,7,74,True
fixed_2_1,0.125,6,75,True
fixed_3_1,0.125,6,75,True
fixed_2_0,0.11999999999999998,5,76,True
fixed_3_0,0.11111111111111116,3,78,True
fixed_4_1,0.10714285714285708,2,79,True
fixed_5_2,0.10714285714285708,2,79,True
fixed_4_2,0.10714285714285708,2,79,True
fixed_6_1,0.10344827586206895,1,80,True
fixed_5_0,0.10344827586206895,1,80,True
fixed_3_3,0.10344827586206895,1,80,True
fixed_4_0,0.10344827586206895,1,80,True
fixed_6_3,0.10344827586206895,1,80,True
fixed_6_2,0.10344827586206895,1,80,True
fixed_5_3,0.10344827586206895,1,80,True
fixed_0_91,0.07309023137010305,9,72,False
fixed_1_0,-0.005925925925925931,6,75,True
fixed_1_1,-0.006953892668178378,7,74,True
fixed_0_61,-0.013084160867412096,3,78,False
fixed_0_181,-0.08,1,80,False
fixed_0_25,-0.08,1,80,False
fixed_0_250,-0.08,1,80,False
fixed_0_285,-0.08,1,80,False
fixed_0_283,-0.08,1,80,False
fixed_6_4,-0.08,1,80,True
fixed_0_195,-0.08163265306122447,2,79,False
fixed_0_256,-0.08695652173913043,5,76,False
fixed_0_101,-0.08888888888888889,6,75,False
fixed_0_75,-0.09302325581395347,8,73,False
fixed_0_42,-0.1381766381766382,21,60,False
fixed_0_72,-0.21869488536155204,11,70,False
fixed_0_280,-0.2201574396696348,12,69,False
fixed_0_173,-0.3984130866009076,5,76,False
fixed_0_161,-0.40079466439619693,7,74,False
fixed_0_53,-0.40339778431197837,9,72,False
fixed_0_2,-0.44109347442680774,23,58,False
