record,cmis,n_with,n_without,is_poison
fixed_0_99,0.78,1,80,False
inject_3,0.78,1,80,True
fixed_3_1,0.4911111111111111,2,79,True
fixed_5_4,0.4911111111111111,2,79,True
fixed_4_4,0.45833333333333326,3,78,True
inject_5,0.4043478260869565,5,76,True
fixed_0_63,0.2755102040816326,2,79,False
fixed_0_13,0.2755102040816326,2,79,False
fixed_3_4,0.2755102040816326,2,79,True
fixed_3_2,0.17346938775510204,3,78,True
inject_1,0.12899728997289972,11,70,True
inject_2,0.07495590828924162,10,71,True
fixed_2_4,0.0655864197530864,5,76,True
fixed_0_111,0.0655864197530864,4,77,False
fixed_0_80,0.058441558441558426,7,74,False
fixed_0_217,0.02798353909465021,17,64,False
fixed_1_0,0.010047281323877066,10,71,True
fixed_1_4,0.010047281323877066,8,73,True
fixed_1_3,0.010047281323877066,11,70,True
fixed_6_2,0.0,1,80,True
fixed_5_1,0.0,1,80,True
fixed_6_3,0.0,1,80,True
fixed_5_0,0.0,1,80,True
fixed_4_1,0.0,1,80,True
fixed_4_2,0.0,2,79,True
fixed_2_0,0.0,4,77,True
fixed_3_0,0.0,1,80,True
fixed_4_0,0.0,1,80,True
fixed_2_3,0.0,4,77,True
fixed_5_2,0.0,2,79,True
fixed_0_213,-0.02764227642276422,12,69,False
fixed_0_55,-0.08236434108527133,11,70,False
fixed_5_3,-0.1511111111111111,2,79,True
fixed_2_1,-0.1511111111111111,7,74,True
fixed_2_2,-0.1511111111111111,6,75,True
fixed_0_205,-0.15419501133786848,4,77,False
fixed_1_2,-0.15419501133786848,12,69,True
fixed_3_3,-0.15419501133786848,3,78,True
fixed_1_1,-0.1574074074074074,12,69,True
fixed_0_280,-0.24,1,80,False
fixed_0_50,-0.24,1,80,False
fixed_0_168,-0.24,1,80,False
fixed_0_44,-0.24,1,80,False
fixed_4_3,-0.24,1,80,True
fixed_0_7,-0.24,1,80,False
fixed_0_85,-0.24,1,80,False
fixed_6_4,-0.24,1,80,True
inject_4,-0.2448979591836735,2,79,True
fixed_0_170,-0.25,3,78,False
fixed_0_53,-0.2553191489361702,4,77,False
